Establishment ID,Establishment Status,Inspection ID,Establishment Name,Establishment Type,Infraction Details,Severity,Action,Outcome,Amount Fined,Inspection Date,year,month,day
10325697,Pass,105482082.0,METRO,Supermarket,,,,,,2024-10-25,2024,10,25
10811542,Pass,105481779.0,MEVAME EAT MEDITERRANEAN,Restaurant,,,,,,2024-10-25,2024,10,25
9381228,Pass,105482106.0,MICHAEL POWER/ST. JOSEPH HIGH SCHOOL,Secondary School Food Services,,,,,,2024-10-25,2024,10,25
10772705,Pass,105482142.0,MOGE TEE,Food Take Out,Fail to protect against entry of pests - Sec. 13(1),M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10743895,Pass,105482032.0,MONKEY THAI SUSHI,Restaurant,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10743895,Pass,105482032.0,MONKEY THAI SUSHI,Restaurant,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10748624,Pass,105482070.0,MORETTI CAFFE,Restaurant,SANITIZE UTENSILS IN QUATERNARY AMMONIUM COMPOUND SOLUTION OF LESS THAN 200 P.P.M. - SEC. 19(C) ,S - Significant,Corrected During Inspection,,,2024-10-25,2024,10,25
10748624,Pass,105482070.0,MORETTI CAFFE,Restaurant,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10748624,Pass,105482070.0,MORETTI CAFFE,Restaurant,FOOD PREMISE NOT MAINTAINED TO KEEP FOOD-HANDLING ROOM FREE FROM MATERIALS NOT REGULARLY USED - SEC. 7(1)(F) ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10748624,Pass,105482070.0,MORETTI CAFFE,Restaurant,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10748624,Pass,105482070.0,MORETTI CAFFE,Restaurant,USE FOOD EQUIPMENT NOT OF SOUND AND TIGHT CONSTRUCTION - SEC. 8(1)(A) ,S - Significant,Corrected During Inspection,,,2024-10-25,2024,10,25
9010421,Pass,105482117.0,MOTI-MAHAL,Restaurant,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
9010421,Pass,105482117.0,MOTI-MAHAL,Restaurant,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10520023,Pass,105479384.0,MR TONKATSU,Restaurant,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,M - Minor,Notice to Comply,,,2024-10-25,2024,10,25
10828119,Pass,105482063.0,MS PHO SAIGON,Restaurant,,,,,,2024-10-25,2024,10,25
10391353,Pass,105480970.0,NAAN & KABOB,Restaurant,,,,,,2024-10-25,2024,10,25
10746745,Pass,105482159.0,NAOKI,Food Take Out,,,,,,2024-10-25,2024,10,25
